pfam13529,Peptidase_C39,379241,139
smart00701,PGRP(Ami_2),128941,142
cd06415,GH25_Cpl1-like(Glyco_hydro_25),119377,196
pfam03959,FSH1,461110,208
cd06525,GH25_Lyc-like(Glyco_hydro_25),119385,184
pfam01374,Glyco_hydro_46,460179,210
cd14844,Zn-DD-carbo(Peptidase_M15),350619,108
cd00978,chitosanase(Glyco_hydro_46),381600,222
pfam00959,Phage_lysozyme,395766,107
pfam10908,DUF2778(YkuD),431533,120
cd00735,T4-like_lys(Glyco_hydro_24),381597,146
pfam12385,Peptidase_C70,403550,143
pfam10464,Peptidase_U40,463099,212
pfam12671,Amidase_6,403767,161
pfam14464,Prok-JAB,464179,113
cd16899,LYZ_C_invert(SLT_related),381618,121
cd16894,MltD-like(SLT_related),381615,129
pfam01832,Glucosaminidase,460354,91
pfam05257,CHAP,461605,83
COG3953,SLT,443153,325
cd00254,LT-like(SLT_related),381594,111
pfam05838,Glyco_hydro_108,428646,86
pfam08924,DUF1906,430322,179
cd06522,GH25_AtlA-like(Glyco_hydro_25),119382,192
pfam01520,Amidase_3,426303,174
cd06583,PGRP(Ami_2),133475,126
cd00325,chitinase_GH19(Glyco_hydro_19),381595,224
cd16891,CwlT-like(LT_GEWL_like),381612,151
pfam00182,Glyco_hydro_19,459702,232
cd06414,GH25_LytC-like(Glyco_hydro_25),119376,191
pfam07486,Hydrolase_2,462179,101
pfam06737,Transglycosylase(SLT_related),399604,75
cd16900,endolysin_R(Glyco_hydro_24),381619,142
pfam01551,Peptidase_M23,460250,96
cd06523,GH25_PlyB-like(Glyco_hydro_25),119383,177
cd13399,Slt35-like(SLT_related),381602,108
smart00646,Ami_3,214762,113
pfam16754,Pesticin,435562,155
pfam08237,PE-PPE,369775,227
pfam01425,Amidase,396144,442
pfam01427,Peptidase_M15,279735,199
cd00736,lambda_lys(Glyco_hydro_24),381598,141
smart00641,Glyco_25(Glyco_hydro_25),128889,109
cd13403,MLTF-like(SLT_related),381606,161
pfam05382,Amidase_5,283125,142
cd16893,LT_MltC_MltE(SLT_related),381614,162
cd00599,GH25_muramidases(Glyco_hydro_25),119373,186
pfam02557,VanY(Peptidase_M15),426830,131
pfam03330,DPBB_1,427248,82
cd13926,N-acetylmuramidase(Glyco_hydro_108),381608,91
cd16896,LT_Slt70-like(SLT_related),381617,146
pfam01464,SLT,396169,114
cd14849,DD-dipeptid(Peptidase_M15),350623,127
pfam13702,Lysozyme_like(LT_GEWL_like),433415,165
pfam06605,Prophage_tail,429028,253
cd16904,pesticin_lyz(Pesticin_lyz_like2),340390,138
pfam00062,Lys(SLT_related),395016,123
pfam13539,Peptidase_M15,433291,67
pfam03734,YkuD,461031,89
cd06417,GH25_LysA-like(Glyco_hydro_25),119379,195
cd13400,LT_IagB-like(SLT_related),381603,109
cd14852,LD-carboxyp(Peptidase_M15),350624,162
cd14845,L-Ala-D-Glu(Peptidase_M15),350620,126
pfam18013,Phage_lysozyme2(SLT_related),465617,139
pfam08291,Peptidase_M15,429903,109
cd13402,LT_TF-like(SLT_related),381605,117
pfam06035,Peptidase_C93,428732,161
pfam01510,Amidase_2,460236,122
cd13925,RPF(SLT_related),381607,71
pfam01183,Glyco_hydro_25,426105,180
cd16913,YkuD_like(YkuD),341130,121
cd00737,lyz_endolys(Glyco_hydro_24),381599,136
pfam04965,GPW_gp25,428225,93
cd14814,Peptidase_M15,350615,111
smart00047,LYZ2(Glucosaminidase),214488,147
pfam01083,Cutinase,395860,173
cd16902,pesticin_lyz(Pesticin_C),381621,178
smart00644,Ami_2,214760,126
cd01021,GEWL(SLT_related),381601,174
pfam00877,NLPC_P60,395705,105
cd13401,Slt70-like(SLT_related),381604,152
pfam06725,3D,399598,72
cd02696,MurNAc-LAA(Ami_3),119407,172
pfam11860,Muramidase,432137,173
cd16901,lyz_P1(Glyco_hydro_24),381620,140
pfam00912,Transglycoslase,459993,177
pfam05951,Peptidase_M15_2,428687,152
pfam10294,Methyltransf_16,313513,172
pfam11790,Glyco_hydro_cc,432075,231
pfam16754,Pesticin,435562,155
pfam11814,DUF3335,432095,206
pfam16499,Melibiase_2,374582,284
pfam13406,SLT_2,404311,292
