pfam09374,PG_binding_3,401356,76
pfam12157,DUF3591,463476,456
pfam08230,CW_7,462399,40
smart00287,SH3b,214600,63
smart00257,LysM,197609,44
pfam01471,PG_binding_1,460223,57
pfam16775,ZoocinA_TRD,407041,106
smart01095,Cpl-7(CW_7),198163,42
pfam12200,DUF3597,463490,127
pfam01476,LysM,396179,43
pfam08239,SH3_3,462405,54
cd00118,LysM,212030,45
pfam05036,SPOR,461531,76
pfam02368,Big_2,396788,77
pfam18341,PSA_CBD,436424,61
pfam01473,Choline_bind_1(CW_1),366661,19
pfam12123,CBD_PlyG,338253,44
pfam08310,LGFP,429909,53
pfam04122,CW_binding_2,461185,80
pfam08460,SH3_5,430010,68
COG1388,LysM,440998,156
pfam06714,Gp5_OB,144
pfam06715,Gp5_C,24
pfam07538,ChW,35
pfam03217,SLAP,54
pfam00395,SLH,42
pfam03815,LCCL,96
pfam08823,PG_binding_2,74
pfam06347,SH3_4,56
